iyear,country_txt,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,gname,nkill,nwound
1977,Spain,Palma de Mallorca,39.569505,2.649965,,Hijacking,Airports & Aircraft,Red Army Faction (RAF),4,11
1977,Nicaragua,San Carlos,11.1236,-84.77795,,Armed Assault,Private Citizens & Property,Sandinista National Liberation Front (FSLN),13,12
1977,Colombia,Neiva,2.925561,-75.290777,,Armed Assault,Police,Revolutionary Armed Forces of Colombia (FARC),9,9
1978,Nicaragua,Granada,11.92988,-85.95602,,Bombing/Explosion,Private Citizens & Property,Sandinista National Liberation Front (FSLN),14,24
1978,United Kingdom,Belfast,54.607712,-5.95621,,Bombing/Explosion,Business,Irish Republican Army (IRA),14,25
1978,Israel,Haifa,32.793921,34.990615,,Hostage Taking (Barricade Incident),Transportation,Al-Fatah,42,76
1978,Turkey,Istanbul,41.106178,28.689863,,Bombing/Explosion,Educational Institution,Unknown,6,44
1978,Israel,Jerusalem,31.771599,35.2034,,Bombing/Explosion,Unknown,Al-Fatah,6,20
1978,Guatemala,Guatemala City,14.622869,-90.529068,,Bombing/Explosion,Military,Guerrilla Army of the Poor (EGP),17,7
1978,Turkey,Ankara,39.930771,32.76754,,Armed Assault,Business,Unknown,4,12
1978,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Violent Political Party,Ahmad Jibril,98,160
1978,Philippines,Zamboanga City,6.929089,122.07885,,Armed Assault,Maritime,Moro National Liberation Front (MNLF),5,8
1978,Nicaragua,Managua,12.103822,-86.267014,,Hostage Taking (Barricade Incident),Government (General),Sandinista National Liberation Front (FSLN),4,6
1978,Philippines,Unknown,6.054022,120.999705,,Armed Assault,Military,Moro National Liberation Front (MNLF),6,12
1978,Thailand,Surat Thani,9.133885,99.326698,,Bombing/Explosion,Military,Communists,9,12
1978,West Bank and Gaza Strip,Mizpe Yeriho,31.815565,35.395291,,Bombing/Explosion,Transportation,Palestine Liberation Organization (PLO),4,37
1978,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Transportation,Lebanese Free Will Movement,4,6
1978,Nicaragua,Achuapa,13.052295,-86.589121,,Armed Assault,Military,Sandinista National Liberation Front (FSLN),34,20
1979,Rhodesia,Unknown,,,,Bombing/Explosion,Unknown,Zimbabwe African People's Union,19,13
1979,Myanmar,Mong Tong,20.292237,98.895448,,Armed Assault,Military,People's Army (Myanmar),8,4
1979,Philippines,Pangutaran district,6.309924,120.565896,,Armed Assault,Police,Moro National Liberation Front (MNLF),8,6
1979,Myanmar,Pang San,22.833333,97.466667,,Armed Assault,Military,People's Army (Myanmar),11,15
1979,Philippines,General Salipada K. Pendatun,6.796989,124.702591,,Armed Assault,Military,Moro National Liberation Front (MNLF),19,10
1979,Israel,Moya,,,,Bombing/Explosion,Private Citizens & Property,Palestinians,5,55
1979,Pakistan,Peshwar,34.006004,71.53743,,Bombing/Explosion,Private Citizens & Property,Unknown,6,40
1979,Myanmar,Nam Myai,,,,Armed Assault,Military,Shan State Progressive Party,13,78
1979,Myanmar,Thaton,16.933177,97.365446,,Bombing/Explosion,Business,Karen National Union,5,60
1979,Myanmar,Monqnawng,21.64706,98.12529,,Hostage Taking (Kidnapping),Military,Shan State Progressive Party,22,6
1979,United Kingdom,Bessbrook,54.194973,-6.397842,,Bombing/Explosion,Police,Irish Republican Army (IRA),4,4
1979,United Kingdom,Bessbrook,54.194973,-6.397842,,Bombing/Explosion,Police,Irish Republican Army (IRA),4,13
1979,Israel,Nahariyya,33.004219,35.092571,,Bombing/Explosion,Private Citizens & Property,Palestine Liberation Front (PLF),6,5
1979,Thailand,Unknown,,,,Bombing/Explosion,Business,Unknown,7,40
1979,El Salvador,San Salvador,13.69288,-89.199161,,Facility/Infrastructure Attack,Business,Popular Revolutionary Bloc (BPR),4,4
1979,Nicaragua,Leon,12.43257,-86.881204,,Armed Assault,Military,Sandinista National Liberation Front (FSLN),8,10
1979,Spain,Madrid,40.465595,-3.696263,,Bombing/Explosion,Business,First of October Antifascist Resistance Group (GRAPO),8,39
1979,Philippines,Patikul,6.089647,121.10537,,Armed Assault,Police,Moro National Liberation Front (MNLF),6,4
1979,Rhodesia,Unknown,,,,Armed Assault,Business,Guerrillas,5,4
1979,Thailand,Huai Yot district,7.773489,99.623,,Unknown,Government (General),Communists,9,6
1979,Namibia,Owamboland,-18.623616,17.516841,,Bombing/Explosion,Transportation,South-West Africa People's Organization (SWAPO),5,8
1979,Iran,Tehran,35.724533,51.40519,,Armed Assault,Transportation,Unknown,9,60
1979,Iran,Khorramshahr,30.442694,48.183987,,Bombing/Explosion,Religious Figures/Institutions,Autonomy-Seeking Arabs,7,60
1979,Iran,Baneh,35.994929,45.885507,,Bombing/Explosion,Private Citizens & Property,Unknown,9,18
1979,Turkey,Yesilkoy,37.618455,28.842265,,Armed Assault,Private Citizens & Property,Unknown,4,8
1979,Angola,Unknown,-5.560318,12.190405,,Armed Assault,Military,Popular Movement for the Liberation of Cabinda,18,18
1979,El Salvador,San Salvador,13.69288,-89.199161,,Bombing/Explosion,Government (General),People's Liberation Forces (FPL),7,30
1979,Colombia,Puerto Berrio,6.48927,-74.40176,,Bombing/Explosion,Military,Revolutionary Armed Forces of Colombia (FARC),7,4
1979,Iran,Ahvaz,31.285506,48.643416,,Bombing/Explosion,Transportation,Arab Separatists,8,16
1979,El Salvador,San Marcos,13.658889,-89.183556,,Armed Assault,Police,People's Revolutionary Army (ERP) (El Salvador),11,19
1979,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Terrorists/Non-State Militia,Unknown,6,32
1979,Turkey,Istanbul,41.106178,28.689863,,Armed Assault,Business,Unknown,6,5
1979,United States,Greensboro,36.068994,-79.794704,,Armed Assault,Private Citizens & Property,Ku Klux Klan,5,10
1979,Saudi Arabia,Mecca,21.422512,39.826209,,Armed Assault,Religious Figures/Institutions,Union of the Peoples of the Arabian Peninsula,5,10
1979,Turkey,Kayseri,38.729534,35.482517,,Armed Assault,Business,Unknown,7,7
1979,Philippines,Zamboanga City,6.929089,122.07885,,Bombing/Explosion,Private Citizens & Property,Moro National Liberation Front (MNLF),6,28
1980,Spain,Barakaldo,43.297222,-2.991667,,Bombing/Explosion,Business,Neo-Fascists,4,10
1980,South Africa,Pretoria,-25.748281,28.212069,,Bombing/Explosion,Business,African National Congress (South Africa),5,17
1980,Tunisia,Gafsa,34.429322,8.786049,,Bombing/Explosion,Police,Tunisian Armed Resistance,41,100
1980,Myanmar,Unknown,,,,Bombing/Explosion,Transportation,Unknown,6,8
1980,Thailand,Hat Yai,7.013983,100.471242,,Bombing/Explosion,Transportation,Communists,4,41
1980,Rhodesia,Rusape,-18.537029,32.125422,,Armed Assault,Transportation,Unknown,16,78
1980,Iran,Khorramshahr,30.442694,48.183987,,Bombing/Explosion,NGO,Unknown,5,39
1980,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Terrorists/Non-State Militia,Palestinians,4,6
1980,Lebanon,Beirut,33.888523,35.503513,,Assassination,Violent Political Party,Palestinians,8,30
1980,El Salvador,San Salvador,13.69288,-89.199161,,Bombing/Explosion,Military,Farabundo Marti National Liberation Front (FMLN),9,14
1980,Philippines,Zamboanga City,6.929089,122.07885,,Bombing/Explosion,Business,Moro National Liberation Front (MNLF),13,14
1980,Philippines,Ozamiz,8.157809,123.846756,,Bombing/Explosion,Business,Moro National Liberation Front (MNLF),30,60
1980,Philippines,Ozamiz,8.157809,123.846756,,Bombing/Explosion,Business,Moro National Liberation Front (MNLF),8,60
1980,Philippines,Saray Tibinga,,,,Bombing/Explosion,Private Citizens & Property,Moro National Liberation Front (MNLF),8,17
1980,Italy,Rome,41.890961,12.490069,,Bombing/Explosion,Airports & Aircraft,Armenian Secret Army for the Liberation of Armenia,10,12
1980,Philippines,Unknown,5.269061,120.079876,,Armed Assault,Private Citizens & Property,Moro National Liberation Front (MNLF),10,5
1980,El Salvador,San Salvador,13.69288,-89.199161,,Armed Assault,Utilities,Unknown,5,5
1980,Turkey,Mardin,37.323032,40.723888,,Armed Assault,Military,Turkish People's Liberation Front (TPLF)(THKP-C),4,5
1980,Iran,Khorramshahr,30.442694,48.183987,,Bombing/Explosion,Unknown,Unknown,5,4
1980,Israel,Misgav am,33.24795,35.549266,,Bombing/Explosion,Private Citizens & Property,Palestinians,8,5
1980,Thailand,Bangkok,13.785793,100.560852,,Bombing/Explosion,Business,Unknown,19,25
1980,Philippines,Pagadian,7.825203,123.437378,,Bombing/Explosion,Private Citizens & Property,Moro National Liberation Front (MNLF),11,100
1980,Iran,Abadan,30.345997,48.287136,,Bombing/Explosion,Private Citizens & Property,Unknown,6,38
1980,Lebanon,Qoub Elias,33.793296,35.822422,,Bombing/Explosion,Private Citizens & Property,Palestinians,7,40
1980,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Private Citizens & Property,Unknown,7,40
1980,Thailand,Unknown,,,,Bombing/Explosion,Private Citizens & Property,Unknown,6,30
1980,Pakistan,Peshawar,34.006004,71.53743,,Bombing/Explosion,Police,Kabul Government Agents,17,18
1980,Bangladesh,Dhaka,23.791275,90.418205,,Assassination,Government (General),Unknown,6,80
1980,El Salvador,Osicala,13.805691,-88.145787,,Armed Assault,Military,Farabundo Marti National Liberation Front (FMLN),40,100
1980,West Bank and Gaza Strip,Hebron,31.530243,35.094162,,Bombing/Explosion,Private Citizens & Property,Palestine Liberation Organization (PLO),5,17
1980,Philippines,Parang,,,,Bombing/Explosion,Business,Moro National Liberation Front (MNLF),18,6
1980,Iran,Ahvaz,31.285506,48.643416,,Bombing/Explosion,Private Citizens & Property,Unknown,11,56
1980,El Salvador,San Salvador,13.69288,-89.199161,,Armed Assault,Military,Unknown,25,12
1980,Syria,Aleppo,36.201721,37.14352,,Bombing/Explosion,Business,Muslim Brotherhood,11,17
1980,Iran,Tehran,35.724533,51.40519,,Bombing/Explosion,Private Citizens & Property,Forqan Group,6,100
1980,Guatemala,San Juan Cotzal,15.435278,-91.035556,,Armed Assault,Military,Guerrilla Army of the Poor (EGP),32,6
1980,Iran,Ahvaz,31.285506,48.643416,,Bombing/Explosion,Business,Unknown,7,30
1980,Italy,Bologna,44.49419,11.346518,,Bombing/Explosion,Transportation,Armed Revolutionary Nuclei (NAR),85,188
1980,Ireland,Donegal,54.654487,-8.110714,,Facility/Infrastructure Attack,Business,Irish Republican Army (IRA),9,8
1980,Guatemala,Chisec,15.812561,-90.288358,,Armed Assault,Military,Unknown,12,4
1980,El Salvador,Miravalle,13.608665,-89.760288,,Armed Assault,Military,Farabundo Marti National Liberation Front (FMLN),16,12
1980,Lebanon,Rayfoun,33.981989,35.703407,,Bombing/Explosion,Business,Free Revolutionaries Movement-The Giants,5,30
1980,Turkey,Ankara,39.930771,32.76754,,Bombing/Explosion,Business,Left-wing extremists,4,8
1980,Guatemala,Guatemala City,14.622869,-90.529068,,Bombing/Explosion,Government (General),Left-Wing Guerrillas,8,80
1980,El Salvador,El Moral,13.3825,-88.183333,,Armed Assault,Military,Unknown,24,6
1980,Philippines,Carmen,,,,Bombing/Explosion,Private Citizens & Property,Unknown,11,76
1980,Germany,Munich,48.139126,11.580186,,Bombing/Explosion,Unknown,Neo-Nazi extremists,13,215
1980,Thailand,Chaiyaphum,15.810556,102.028889,,Bombing/Explosion,Police,Communists,5,5
1980,France,Paris,48.856644,2.34233,,Bombing/Explosion,Religious Figures/Institutions,Neo-Nazi extremists,4,12
1980,El Salvador,El Cacao,13.6625,-89.655278,,Armed Assault,Military,Unknown,6,7
1980,El Salvador,Quebrada La Vibora,14.122595,-89.221206,,Armed Assault,Military,Unknown,10,6
1980,Spain,Zarauz,43.280364,-2.171588,,Armed Assault,Business,Basque Fatherland and Freedom (ETA),5,5
1980,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Private Citizens & Property,Unknown,14,22
1980,El Salvador,San Salvador,13.69288,-89.199161,,Bombing/Explosion,Police,Farabundo Marti National Liberation Front (FMLN),8,10
1980,Philippines,Manila,14.596051,120.978666,,Bombing/Explosion,Business,Unknown,6,20
1980,Colombia,Cacaricas,7.723996,-77.143124,,Armed Assault,Police,Revolutionary Armed Forces of Colombia (FARC),4,4
1980,Philippines,General Santos,6.11622,125.169395,,Bombing/Explosion,Private Citizens & Property,Unknown,7,22
1980,El Salvador,Nombre de Jesus,14.008276,-88.728949,,Armed Assault,Military,Unknown,5,4
1980,Kenya,Nairobi,-1.28518,36.821107,,Bombing/Explosion,Business,Popular Front for the Liberation of Palestine (PFLP),15,85
1981,India,Unknown,24.663717,93.906269,,Unknown,Police,Unknown,6,5
1981,Guatemala,Chicacao,14.533333,-91.316667,,Armed Assault,Police,Revolutionary Organization of People in Arms (ORPA),11,15
1981,Philippines,Unknown,,,,Facility/Infrastructure Attack,Private Citizens & Property,Muslims,11,26
1981,El Salvador,La Bermuda,13.871449,-89.037439,,Bombing/Explosion,Transportation,Farabundo Marti National Liberation Front (FMLN),18,23
1981,El Salvador,Bermuda,13.871389,-89.375,,Bombing/Explosion,Business,Farabundo Marti National Liberation Front (FMLN),18,24
1981,Guatemala,Comalpa,14.736569,-90.890018,,Armed Assault,Military,Revolutionary Organization of People in Arms (ORPA),18,10
1981,Philippines,Sumisip,6.41871,121.972443,,Bombing/Explosion,Business,Unknown,16,4
1981,Thailand,Bannang Sata district,6.242799,101.297732,,Armed Assault,Transportation,Unknown,14,11
1981,El Salvador,Caserio El Dique,13.99,-88.758,,Armed Assault,Utilities,Unknown,10,15
1981,Guatemala,Las Lomas,13.933333,-90.133333,,Armed Assault,Military,Unknown,6,4
1981,Philippines,Bagumbayan,,,,Armed Assault,Transportation,New People's Army (NPA),14,16
1981,El Salvador,Villa Victoria,13.95,-88.633333,,Armed Assault,Military,Farabundo Marti National Liberation Front (FMLN),14,12
1981,El Salvador,Colonia san Nicolas,,,,Armed Assault,Military,Unknown,20,4
1981,Colombia,Unknown,2.535935,-75.52767,,Armed Assault,Military,Revolutionary Armed Forces of Colombia (FARC),6,5
1981,Philippines,Davao City,7.083241,125.600998,,Bombing/Explosion,Religious Figures/Institutions,New People's Army (NPA),13,161
1981,Iran,Kermanshah,34.267394,47.11118,,Bombing/Explosion,Transportation,Unknown,7,35
1981,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Government (General),Unknown,4,18
1981,El Salvador,Villa Victoria,13.95,-88.633333,,Armed Assault,Military,Unknown,5,4
1981,Guatemala,Colomba,14.707705,-91.731829,,Armed Assault,Military,Unknown,11,17
1981,Philippines,Cotabato City,7.209594,124.241966,,Bombing/Explosion,Business,Muslim Rebels,4,47
1981,Turkey,Istanbul,41.106178,28.689863,,Hijacking,Airports & Aircraft,Unknown,4,6
1981,Guatemala,San Mateo Ixtatan,15.830597,-91.476114,,Armed Assault,Private Citizens & Property,Unknown,36,5
1981,Guatemala,Santa Lucia Cotzumalguapa,14.333333,-91.016667,,Bombing/Explosion,Military,Left-Wing Guerrillas,6,6
1981,Guatemala,Unknown,,,,Armed Assault,Military,Unknown,16,10
1981,El Salvador,Arcatao,14.091943,-88.747054,,Armed Assault,Military,Unknown,14,14
1981,Nicaragua,San Pedro,13.27624,-86.87844,,Armed Assault,Private Citizens & Property,Ex-Somoza National Guard,6,6
1981,Philippines,Llorente,11.41194,125.54583,,Unknown,Business,Rebels,5,6
1981,Iran,Zomeydan,37.16361,50.06056,,Bombing/Explosion,Transportation,Unknown,6,50
1981,El Salvador,San Vicente,13.64121,-88.785423,,Armed Assault,Military,Unknown,4,11
1981,El Salvador,Amatitan Abajo,13.766667,-88.716667,,Armed Assault,Military,Unknown,30,15
1981,Iran,Shiraz,29.591325,52.58361,,Assassination,Government (General),Counter-revolutionaries,4,4
1981,Iran,Tehran,35.724533,51.40519,,Bombing/Explosion,Government (General),Mujahedin-e Khalq (MEK),7,10
1981,El Salvador,Guazapa,13.876944,-89.173556,,Armed Assault,Military,Unknown,8,14
1981,El Salvador,Curaren,13.8,-88.583333,,Armed Assault,Transportation,Unknown,20,15
1981,Iran,Tehran,35.724533,51.40519,,Armed Assault,Police,Unknown,20,7
1981,Syria,Damascus,33.515244,36.292084,,Bombing/Explosion,Military,Unknown,20,50
1981,Lebanon,Shika,,,,Bombing/Explosion,Business,Front for the Liberation of Lebanon from Foreigners,10,10
1981,Lebanon,Sidon,33.550434,35.370964,,Bombing/Explosion,Terrorists/Non-State Militia,Front for the Liberation of Lebanon from Foreigners,23,90
1981,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Business,Front for the Liberation of Lebanon from Foreigners,4,28
1981,Lebanon,Aj-Jirariyah,,,,Bombing/Explosion,Government (General),Unknown,10,20
1981,Lebanon,Unknown,,,,Bombing/Explosion,Terrorists/Non-State Militia,Front for the Liberation of Lebanon from Foreigners,18,45
1981,Guatemala,San Miguel Chicaj,15.093394,-90.396028,,Armed Assault,Private Citizens & Property,Unknown,14,30
1981,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Police,Front for the Liberation of Lebanon from Foreigners,83,300
1981,Egypt,Cairo,30.084629,31.334314,,Assassination,Unknown,Egyptian Islamic Jihad (Al-Jihad),8,30
1981,Peru,Huancayo,-12.027479,-75.213079,,Bombing/Explosion,Police,Shining Path (SL),4,5
1981,Iran,Mahabad,36.7652,45.722417,,Bombing/Explosion,Business,Unknown,14,4
1981,Philippines,Cotabato City,7.209594,124.241966,,Armed Assault,Terrorists/Non-State Militia,Moro National Liberation Front (MNLF),4,4
1981,Iran,Kamyaran,34.7956,46.9355,,Bombing/Explosion,Private Citizens & Property,Counter-revolutionaries,8,12
1981,Guatemala,San Mateo Ixtatan,15.830597,-91.476114,,Bombing/Explosion,Private Citizens & Property,Unknown,9,4
1981,Guatemala,Santa Cruz del Quiche,15.03,-91.15,,Bombing/Explosion,Private Citizens & Property,Unknown,4,6
1981,Nicaragua,Murra,13.759041,-86.017217,,Armed Assault,Military,Ex-Somoza National Guard,7,4
1981,Syria,Aleppo,36.201721,37.14352,,Bombing/Explosion,Private Citizens & Property,Front for the Liberation of Lebanon from Foreigners,90,135
1981,Guatemala,Chupol,14.85,-91.05,,Bombing/Explosion,Military,Unknown,5,11
1981,El Salvador,Usulutan,13.344322,-88.437463,,Armed Assault,Military,Unknown,12,5
1981,El Salvador,Usulutan,13.344322,-88.437463,,Armed Assault,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),10,5
1981,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Government (Diplomatic),Iraqi Liberation Army,66,100
1981,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Private Citizens & Property,Unknown,11,15
1981,Guatemala,La Mesilla,15.63992,-91.979478,,Facility/Infrastructure Attack,Police,Unknown,5,10
1981,Guatemala,Chiquimula,14.8,-89.55,,Bombing/Explosion,Police,Unknown,4,6
1982,Guatemala,San Cristobal Verapaz,15.365662,-90.47916,,Bombing/Explosion,Private Citizens & Property,Guerrilla Army of the Poor (EGP),8,5
1982,Lebanon,Sidon,33.550434,35.370964,,Bombing/Explosion,Terrorists/Non-State Militia,Unknown,4,24
1982,India,Unknown,24.663717,93.906269,,Unknown,Military,Secessionists,20,5
1982,Philippines,Unknown,17.555726,120.838718,,Armed Assault,Military,New People's Army (NPA),5,6
1982,Nicaragua,Managua,12.103822,-86.267014,,Bombing/Explosion,Airports & Aircraft,Unknown,4,5
1982,Philippines,Lambunao,,,,Facility/Infrastructure Attack,Private Citizens & Property,New People's Army (NPA),7,5
1982,Iran,Tehran,35.724533,51.40519,,Bombing/Explosion,Military,Unknown,15,60
1982,Iran,Tehran,35.724533,51.40519,,Bombing/Explosion,Private Citizens & Property,Unknown,11,61
1982,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Private Citizens & Property,Unknown,7,60
1982,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Military,Front for the Liberation of Lebanon from Foreigners,8,35
1982,Colombia,Ruidoso,,,,Bombing/Explosion,Military,M-19 (Movement of April 19),4,15
1982,France,Limoges,45.833619,1.261105,,Bombing/Explosion,Transportation,Marxists,5,28
1982,Guatemala,Coatepeque,14.7,-91.866667,,Hostage Taking (Barricade Incident),Transportation,Unknown,5,8
1982,El Salvador,Normandia,13.335996,-88.652575,,Bombing/Explosion,Transportation,Farabundo Marti National Liberation Front (FMLN),8,7
1982,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Private Citizens & Property,Unknown,4,15
1982,Lebanon,Beirut,33.888523,35.503513,,Bombing/Explosion,Government (Diplomatic),Free Nasserite Revolutionaries,12,27
1982,Guatemala,Cheche,15.641812,-91.579872,,Unknown,Private Citizens & Property,Unknown,4,4
1982,India,Gauhati,26.149794,91.763931,,Bombing/Explosion,Private Citizens & Property,Unknown,19,50
1982,Guatemala,Nebaj,15.408333,-91.147222,,Armed Assault,Private Citizens & Property,Unknown,100,35
1982,Iran,Yazd,31.89722,54.3675,,Assassination,Religious Figures/Institutions,Mujahedin-e Khalq (MEK),4,11
1982,United Kingdom,London,51.504387,-0.140041,,Bombing/Explosion,Private Citizens & Property,Irish Republican Army (IRA),6,28
1982,Iraq,Baghdad,33.303566,44.371773,,Bombing/Explosion,Government (General),Iraqi Mujahideen,20,138
1982,Turkey,Ankara,39.930771,32.76754,,Bombing/Explosion,Airports & Aircraft,Armenian Secret Army for the Liberation of Armenia,9,71
1982,France,Paris,48.856644,2.34233,,Bombing/Explosion,Business,Abu Nidal Organization (ANO),6,22
1982,Mozambique,Unknown,,,,Bombing/Explosion,Transportation,Mozambique National Resistance Movement (MNR),14,50
1982,Iran,Tehran,35.724533,51.40519,,Bombing/Explosion,Private Citizens & Property,Mujahedin-e Khalq (MEK),20,100
1982,Lebanon,Beirut,33.888523,35.503513,,Assassination,Government (General),Unknown,21,60
1982,Iran,Tehran,35.724533,51.40519,,Bombing/Explosion,Private Citizens & Property,Unknown,60,700
1982,Lebanon,Alayh,33.810003,35.59728,,Bombing/Explosion,Military,Unknown,6,22
1982,El Salvador,Berlin,13.49446,-88.530343,,Armed Assault,Police,Farabundo Marti National Liberation Front (FMLN),6,8
1982,El Salvador,Las Vueltas,14.09396,-88.889278,,Armed Assault,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),4,15
1982,Guatemala,Sayaxche,16.525915,-90.189307,,Bombing/Explosion,Military,Unknown,19,7
1982,El Salvador,Apopa,13.79833,-89.17889,,Assassination,Police,Unknown,4,4
1982,Lebanon,Shuwayfat,33.808611,35.517778,,Bombing/Explosion,Business,Unknown,7,13
1982,El Salvador,Lislique,13.802046,-87.896732,,Armed Assault,Military,Farabundo Marti National Liberation Front (FMLN),5,10
1982,El Salvador,Tierra Blanca,13.387521,-88.655207,,Bombing/Explosion,Transportation,Farabundo Marti National Liberation Front (FMLN),24,6
1982,Lebanon,Beirut,33.888523,35.503513,,Assassination,Government (General),Unknown,4,15
1982,United Kingdom,Ballykelly,55.043617,-7.023927,,Bombing/Explosion,Business,Irish National Liberation Army (INLA),16,66
1982,Lebanon,Tripoli,34.438103,35.830841,,Bombing/Explosion,Unknown,Unknown,8,10
1982,El Salvador,Zacatecoluca,13.5,-88.866667,,Armed Assault,Business,Unknown,10,16
1982,Philippines,Pagadian,7.825203,123.437378,,Bombing/Explosion,Maritime,Unknown,6,70
